Financing Country  (and entity),Financing Country,Institution,Project Name ,MW, Amount (in USD)  , Amount Sources , Estimated Amount2 , Total Project Value , TPV Sources , EPC Revenue , Insurance cover ,Financial Close Date,Year Financed,Region ,Recipient Country ,Recipient Subregion,Sponsors/Parents,Project Sponsor (GCPT)2,EPC Company,Generator Manufacturer,Turbine Maker,Boiler Maker,Sector Group ,Sector ,Latitude,Longitude,Location Accuracy,Phase ID,URL,Source 1,Source 2,Source 3+,GEMTrackerIDs,GEMTrackerLOC,Other and Chinese Names,OpYEAR,Plant Type ,Coal Mine Size (Mtpa)
China,China,TBD,Pedras Altas Ouro Negro coal plant (600MW),600,,,"$776,000,000 ","$970,000,000 ",,,,1/1/1950,2050,Latin America & Caribbean,Brazil,"Santa Catarina, Pedras Altas, RS","Ouro Negro Energia, SEPCO1/PowerChina, CITIC and Hebi Guochang Energy Development",,SEPCO1,,,,Coal Power Plant,Coal Power Plant - New,-31.732865,-53.58575,exact,PH125.01,https://www.gem.wiki/Pedras_Altas_power_station#cite_note-14,http://www.ipim.gov.mo/en/portuguese-speaking-countries-news/chinese-state-owned-enterprises-want-to-build-power-plant-in-brazil/,http://dialogochino.net/brazil-adds-new-coal-fired-power/,"http://www.tribunadopampa.com.br/ute-ouro-negro-assina-contrato-bilionario-com-a-chinesa-sepco1-e-se-prepara-para-vender-energia-no-mercado-livre/
https://www.jornaldocomercio.com/_conteudo/economia/2020/01/720345-abcm-preve-programa-para-carvao-em-2020.html
http://www.jornalminuano.com.br/noticia/2019/10/01/ouro-negro-e-sepco-1-assinam-contrato-para-construcao-de-usina-em-pedras-altas
http://www.jornalminuano.com.br/noticia/2020/06/06/demanda-por-energia-a-carvao-tem-reducao-de-mais-de-12
http://www.tribunadopampa.com.br/ute-ouro-negro-nao-colocou-energia-a-venda-no-leilao-a-6/",,L100129,,2021,,
China (Equity+EPC),China,PowerChina,Pedras Altas Ouro Negro coal plant (600MW),600,,,"$97,000,000 ","$970,000,000 ",,,,1/1/1950,2050,Latin America & Caribbean,Brazil,"Santa Catarina, Pedras Altas, RS","Ouro Negro Energia, SEPCO1/PowerChina, CITIC and Hebi Guochang Energy Development",,SEPCO1,,,,Coal Power Plant,Coal Power Plant - New,-31.732865,-53.58575,exact,PH125.01,https://www.gem.wiki/Pedras_Altas_power_station#cite_note-14,http://www.ipim.gov.mo/en/portuguese-speaking-countries-news/chinese-state-owned-enterprises-want-to-build-power-plant-in-brazil/,http://dialogochino.net/brazil-adds-new-coal-fired-power/,"http://www.tribunadopampa.com.br/ute-ouro-negro-assina-contrato-bilionario-com-a-chinesa-sepco1-e-se-prepara-para-vender-energia-no-mercado-livre/
https://www.jornaldocomercio.com/_conteudo/economia/2020/01/720345-abcm-preve-programa-para-carvao-em-2020.html
http://www.jornalminuano.com.br/noticia/2019/10/01/ouro-negro-e-sepco-1-assinam-contrato-para-construcao-de-usina-em-pedras-altas
http://www.jornalminuano.com.br/noticia/2020/06/06/demanda-por-energia-a-carvao-tem-reducao-de-mais-de-12
http://www.tribunadopampa.com.br/ute-ouro-negro-nao-colocou-energia-a-venda-no-leilao-a-6/",,L100129,,2021,,
China,China,China Development Bank,Pulau Muara Besar Power Station (220 MW),220,,,,,,,,12/31/2016,2016,Southeast Asia,Brunei,,Hengyi Industrial,,,,,,Coal Power Plant,Coal Power,5.000576,115.1229798åÊ,,PH344.01,https://www.gem.wiki/Pulau_Muara_Besar_power_station#Financing,,http://www.icbc.com.cn/ICBC/%E5%A4%96%E9%83%A8%E8%B0%83%E7%94%A8/%E4%B8%80%E5%B8%A6%E4%B8%80%E8%B7%AF%E6%9C%80%E4%BD%B3%E9%A1%B9%E7%9B%AE%E8%AF%84%E9%80%89/20.htm,,,L104551,,2019,,
China,China,Export Import Bank of China (Chexim),Pulau Muara Besar Power Station (220 MW),220,,,,,,,,12/31/2016,2016,Southeast Asia,Brunei,,Hengyi Industrial,,,,,,Coal Power Plant,Coal Power,5.000576,115.1229798åÊ,,PH344.01,https://www.gem.wiki/Pulau_Muara_Besar_power_station#Financing,,http://www.icbc.com.cn/ICBC/%E5%A4%96%E9%83%A8%E8%B0%83%E7%94%A8/%E4%B8%80%E5%B8%A6%E4%B8%80%E8%B7%AF%E6%9C%80%E4%BD%B3%E9%A1%B9%E7%9B%AE%E8%AF%84%E9%80%89/20.htm,,,L104551,,2019,,
China (private),China (private),China Merchants Bank,Pulau Muara Besar Power Station (220 MW),220,,,,,,,,12/31/2016,2016,Southeast Asia,Brunei,,Hengyi Industrial,#N/A,,,,,Coal Power Plant,Coal Power,5.000576,115.1229798åÊ,,PH344.01,https://www.gem.wiki/Pulau_Muara_Besar_power_station#Financing,,http://www.icbc.com.cn/ICBC/%E5%A4%96%E9%83%A8%E8%B0%83%E7%94%A8/%E4%B8%80%E5%B8%A6%E4%B8%80%E8%B7%AF%E6%9C%80%E4%BD%B3%E9%A1%B9%E7%9B%AE%E8%AF%84%E9%80%89/20.htm,,,,,2019,,
China (majority bank),China,Bank of China (BOC),Pulau Muara Besar Power Station (220 MW),220,,,,,,,,12/31/2016,2016,Southeast Asia,Brunei,,Hengyi Industrial,,,,,,Coal Power Plant,Coal Power,5.000576,115.1229798åÊ,,PH344.01,https://www.gem.wiki/Pulau_Muara_Besar_power_station#Financing,,http://www.icbc.com.cn/ICBC/%E5%A4%96%E9%83%A8%E8%B0%83%E7%94%A8/%E4%B8%80%E5%B8%A6%E4%B8%80%E8%B7%AF%E6%9C%80%E4%BD%B3%E9%A1%B9%E7%9B%AE%E8%AF%84%E9%80%89/20.htm,,,L104551,,2019,,
China (majority bank),China,Industrial and Commercial Bank of China (ICBC),Pulau Muara Besar Power Station (220 MW),220,,,,,,,,12/31/2016,2016,Southeast Asia,Brunei,,Hengyi Industrial,,,,,,Coal Power Plant,Coal Power,5.000576,115.1229798åÊ,,PH344.01,https://www.gem.wiki/Pulau_Muara_Besar_power_station#Financing,,http://www.icbc.com.cn/ICBC/%E5%A4%96%E9%83%A8%E8%B0%83%E7%94%A8/%E4%B8%80%E5%B8%A6%E4%B8%80%E8%B7%AF%E6%9C%80%E4%BD%B3%E9%A1%B9%E7%9B%AE%E8%AF%84%E9%80%89/20.htm,,,L104551,,2019,,
China (majority bank),China,Bank of China (BOC),Sihanoukville CEL power station Units 1-2 (100MW),100,"$35,000,000 ",,,,,,,1/1/2014,2014,Southeast Asia,Cambodia,Preah Sihanouk,"Cambodia International
Investment Development
Group (CIIDG) and Leader Universal Holdings
Berhad",Leader Universal Holdings,,,,,Coal Power Plant,Coal Power Plant - New,10.7402127,103.5808274,exact,PH221.01,https://bit.ly/2tkEMSL,,"http://www.sourcewatch.org/index.php/Sihanoukville_CEL_power_station
http://climatepolicyinitiative.org/wp-content/uploads/2015/11/Slowing-the-Growth-of-Coal-Power-Outside-China.pdf",,,L100157,,,#ERROR!,
China (Equity),China,Sinosteel,Royal Group Coal Plant (700MW),700,,, $ -   ,"$1,340,000,000 ",,,,1/1/1950,2050,Southeast Asia,Cambodia,"Botum Sakor district, Koh Kong province ",Sinosteel and Royal Group (Thailand),#N/A,,,,,Coal Power Plant,Coal Power Plant - New,10.6333,103.5,approximate,PH361.01,https://www.gem.wiki/Royal_Group_power_station,"https://www.khmertimeskh.com/50689210/royal-group-to-invest-1-5-billion-in-700-mws-coal-fired-power-plant/
https://www.thestar.com.my/news/regional/2020/02/10/cambodia-plans-2-coal-fired-plants-worth-us17bil",http://www.chinapower.com.cn/xw/gjxw/20200228/8851.html,,,,"Šü_ŒÝ_Šü_ŽÕ¢ŽÝ ŒÝ¢(Sinosteel)
¾ÙÂŒÙÓŒø¬Œ_ÒŒÏ¡Š_Šü__àŒ¨¦ŽÝ ŒÝ¢(Royal Group)",2024,,
Unknown,Unknown,Unknown,Sihanoukville CEL 2 Power Station Expansion (150 MW),150,,,,,,,,1/1/1949,2049,Southeast Asia,Cambodia,,Cambodia Energy Limited,Leader Universal Holdings,Toshiba,General Electric,General Electric,General Electric,Coal Power Plant,Coal Power,10.7402127,103.5808274åÊ,,PH221.02,https://www.gem.wiki/Sihanoukville_CEL_power_station,https://www.construction-property.com/150mw-coal-fired-power-plant-in-sihanoukville-nearing-completion/,https://www.nsenergybusiness.com/projects/cel-ii-sihanoukville-power-plant/,maybe this one? https://ijglobal.com/data/transaction/37695/preah-sihanouk-coal-fired-power-plant-135mw,,L100157,,2019,,
China (equity),China,China Huadian,Sihanoukville CIIDG Power Station 2 (700 MW),700,,,,"$1,190,000,000 ", AEI database ,,,1/1/1950,2050,Southeast Asia,Cambodia,Koh Kong,Cambodia International Investment Development Group,Cambodia International Investment Development Group,,,,,Coal Power Plant,Coal Power,10.6333,103.5åÊ,,PH340.01,https://www.gem.wiki/Sihanoukville_CIIDG_power_station_2,http://news.bjx.com.cn/html/20181120/942881.shtml,http://projectinfo.bhi.com.cn/DynamicTopic/Construction_AbroadDetail.aspx?id=29690272,"https://www.khmertimeskh.com/50673648/%E4%B8%AD%E5%9B%BD%E5%8D%8E%E7%94%B5%E8%A5%BF%E6%B8%AF2x350mw%E7%87%83%E7%85%A4%E7%94%B5%E5%8E%82%E7%AD%BE%E7%BA%A6%E6%9A%A8%E5%A5%A0%E5%9F%BA%E4%BB%AA%E5%BC%8F%E5%9C%A8%E6%9F%AC%E5%9F%94/
http://www.xzmmy.com/gp/7904.html",,L104533,Šü_ŒÝ_Œ_Óµ´À¾üø2x350mwàÄÉ_ÓµŒ_â,2023,,
China (majority bank),China,Industrial and Commercial Bank of China (ICBC),Sihanoukville CIIDG Power Station 2 (700 MW),700,,,,,,,,1/1/1950,2050,Southeast Asia,Cambodia,Koh Kong,Cambodia International Investment Development Group,Cambodia International Investment Development Group,,,,,Coal Power Plant,Coal Power,10.6333,103.5åÊ,,PH340.01,https://www.gem.wiki/Sihanoukville_CIIDG_power_station_2,http://news.bjx.com.cn/html/20181120/942881.shtml,http://projectinfo.bhi.com.cn/DynamicTopic/Construction_AbroadDetail.aspx?id=29690272,"https://www.khmertimeskh.com/50673648/%E4%B8%AD%E5%9B%BD%E5%8D%8E%E7%94%B5%E8%A5%BF%E6%B8%AF2x350mw%E7%87%83%E7%85%A4%E7%94%B5%E5%8E%82%E7%AD%BE%E7%BA%A6%E6%9A%A8%E5%A5%A0%E5%9F%BA%E4%BB%AA%E5%BC%8F%E5%9C%A8%E6%9F%AC%E5%9F%94/
http://www.xzmmy.com/gp/7904.html",,L104533,Šü_ŒÝ_Œ_Óµ´À¾üø2x350mwàÄÉ_ÓµŒ_â,2023,,
China (EPC),China,China Datang,CANCELLED - Koh Kong (Laem Yai Saen) Coal-Fired Power Plant (2400MW),2400,,,,,,,,1/1/1955,2055,Southeast Asia,Cambodia,"Laem Yai Saen, Koh Kong",KOH KONG POWER LIGHT LTD (EGCO/ITAL-THAI),TBD,China Datang Technologies & Engineering Co Ltd (CDTEC),,,,Coal Power Plant,Coal Power Plant - New,11.399167,103.494722,exact,PH079.01,https://www.gem.wiki/Koh_Kong_power_station,,https://ijglobal.com/data/transaction/17360/koh-kong-coal-fired-power-plant-1800mw,,,L100154,,,Subcritical,
TBD,TBD,TBD,Han Seng Trapang Prasat coal plant  (265MW),265,"$205,800,000 ",,,"$294,000,000 ",,,,1/1/1955,2055,Southeast Asia,Cambodia,northwest Oddar Meanchey province ,,,,,,,Coal Power Plant,Coal Power,,,,,https://www.gem.wiki/Han_Seng_power_station,https://www.khmertimeskh.com/50689210/royal-group-to-invest-1-5-billion-in-700-mws-coal-fired-power-plant/,https://ijglobal.com/data/transaction/51508/trapang-prasat-coal-fired-power-plant-265mw,,G114299; G114300,L104608,,2022,,
Japan,Japan,Japan Bank for International Cooperation (JBIC),Grande Cache Coal Mine,,"$169,400,000 ",,,,,,,3/30/2012,2012,US & Canada,Canada,,Marubeni Corporation,#N/A,,,,,Coal Mining,Coal Mining,,,,,,https://www.jbic.go.jp/en/information/press/press-2011/0330-7307,,,,,,,,4
Japan,Japan,Japan Bank for International Cooperation (JBIC),Peace River Coal field,,"$261,000,000 ",,,,,,,8/28/2012,2012,US & Canada,Canada,,JX Nippon Oil & Energy Corporation,#N/A,,,,,Coal - Other/Unspecified,Coal - Policy,,,,,,https://www.jbic.go.jp/en/information/press/press-2012/0828-7438,,,,,,,,10
South Korea,South Korea,Korea Trade Insurance Corporation (K-sure),Angamos,,"$622,000,000 ",,,,,,,1/1/2007,2007,Latin America & Caribbean,Chile,,SPV Empresa Electrica Angamos (EEA),#N/A,,,,,Coal Power Plant,Coal Power Plant - New,,,,,,http://www.edf.org/sites/default/files/9584_coal-plants-spreadsheet.xls,https://ijglobal.com/articles/54667/ij-awards-power-deal-of-the-year;,,,,,,,
South Korea,South Korea,Export-Import Bank of Korea (Kexim),Nueva Ventanas Power Plant (270MW),270,"$50,000,000 ",,,,,,,1/1/2007,2007,Latin America & Caribbean,Chile,,Not identified,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,,,,,,,,,,,,,,
Germany,Germany,Kreditanstalt fÌ_r Wiederaufbau (KfW),Angamos,,,,,,,,,1/1/2008,2008,Latin America & Caribbean,Chile,,SPV Empresa Electrica Angamos (EEA),#N/A,,,,,Coal Power Plant,Coal Power Plant - New,,,,,,https://ijglobal.com/data/transaction/18406/462mw-aes-angamos-coal-fired-power-plant,,,,,,,,
Multilateral,Multilateral,World Bank - International Finance Corporation,Central Termoelectrica Andino (CTA) (150MW),150,"$150,000,000 ",,,,,,,3/13/2008,2008,Latin America & Caribbean,Chile,,Suez Energy Andino,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,,,,,,http://ifcext.ifc.org/ifcext/spiwebsite1.nsf/ProjectDisplay/SPI_DP26466,,,,,,,,
Germany,Germany,Kreditanstalt fÌ_r Wiederaufbau (KfW),Coal-Fired Power Plant,,,,,,,,,1/1/2009,2009,Latin America & Caribbean,Chile,,Not identified,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,,,,,,http://dipbt.bundestag.de/dip21/btd/17/077/1707757.pdf,http://www.bloomberg.com/news/2012-07-27/eon-expects-chile-power-plant-to-proceed-after-losing-injunction.html,,,,,,,
Japan,Japan,Japan Bank for International Cooperation (JBIC),Cochrane Coal-Fired Power Project (472MW),472,"$500,000,000 ",,,,,,,3/28/2013,2013,Latin America & Caribbean,Chile,,,,,,,,Coal Power Plant,Coal Power Plant - New,-23.06341,-70.365837,,PH042.01,http://bit.ly/1g7mfdp,http://www.jbic.go.jp/en/information/press/press-2012/0328-7393,http://sekitan.jp/jbic/wp-content/uploads/2014/01/Lists-of-Approved-Coal-Investments-by-JBIC-April-2015.pdf,,,L100183,,2016,Subcritical,
Japan,Japan,Nippon Export and Investment Insurance (NEXI),Cochrane Coal-Fired Power Project (472MW),472,"$250,000,000 ",,,,,,,3/28/2013,2013,Latin America & Caribbean,Chile,,,,,,,,Coal Power Plant,Coal Power Plant - New,-23.06341,-70.365837,,PH042.01,http://bit.ly/1g7mfdp,http://www.nexi.go.jp/topics/en/newsrelease/004735.html,,,,L100183,,2016,Subcritical,
South Korea,South Korea,Export-Import Bank of Korea (Kexim) ,Cochrane Coal-Fired Power Project (472MW),472,"$100,000,000 ",,,,,,,3/28/2013,2013,Latin America & Caribbean,Chile,,,,,,,,Coal Power Plant,Coal Power Plant - New,-23.06341,-70.365837,,PH042.01,http://bit.ly/1g7mfdp,http://www.jbic.go.jp/en/information/press/press-2012/0328-7393,http://sekitan.jp/jbic/wp-content/uploads/2014/01/Lists-of-Approved-Coal-Investments-by-JBIC-April-2015.pdf,,,L100183,,2016,Subcritical,
South Korea,South Korea,Export-Import Bank of Korea (Kexim),Shanxi Generation/Coal Mine Project,,"$80,000,000 ",,,,,,,1/1/2008,2008,East Asia,China,,GIEG(Gemeng International Energy Group),#N/A,,,,,Coal Power Plant,Coal Power Plant - New,,,,,,,,,,,,,,
Multilateral,Multilateral,Asian Development Bank (ADB),Small-scale Technical Assistance for Capacity Strengthening in Planning and Implementation of Integrated Gasification Combined Cycle Plant,,"$200,000 ",,,,,,,10/8/2008,2008,East Asia,China,,Greengen Co. Ltd.,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,,,,,,,,,,,,,,
Multilateral,Multilateral,Asian Development Bank (ADB),Recycling Waste Coal for Power Generation,,"$500,000 ",,,,,,,8/10/2009,2009,East Asia,China,,Government of China,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,,,,,,,,,,,,,,
Multilateral,Multilateral,World Bank - International Finance Corporation,Stora Enso  (Stora China III),,"$146,970,000 ",,,,,,,3/3/2014,2014,East Asia,China,,Stora Enso Oyj ,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,21.466667,109.1,,PH149.01,http://bit.ly/2encJda,https://ifcndd.ifc.org/ifcext/spiwebsite1.nsf/78e3b305216fcdba85257a8b0075079d/7786a0ba1f47451685257c2b00686cd7?opendocument,,,,L100431,,2017,,
Germany,Germany,Kreditanstalt fÌ_r Wiederaufbau (KfW),Construction of a new district heating system in Linxia,,"$53,160,000 ",,,,,,,1/1/2014,2014,East Asia,China,,Not identified,#N/A,,,,,Coal - Other/Unspecified,Coal - Heating,,,,,,,,,,,,,,
Germany,Germany,Kreditanstalt fÌ_r Wiederaufbau (KfW),Modernisation of a district heating system in Jinzhong ,,"$48,375,600 ",,,,,,,1/1/2014,2014,East Asia,China,,Not identified,#N/A,,,,,Coal - Other/Unspecified,Coal - Heating,,,,,,,,,,,,,,
Japan,Japan,Nippon Export and Investment Insurance (NEXI),Acquiring Coal Interest Project ,,"$937,000,000 ",,,,,,,11/27/2012,2012,Latin America & Caribbean,Colombia,,ITOCHU Coal Americas Inc.,#N/A,,,,,Coal - Other/Unspecified,Coal - Policy,,,,,,http://www.nexi.go.jp/topics/newsrelease/004598.html,http://www.itochu.co.jp/ja/ir/doc/presentation/pdf/ITC110617.pdf,,,,,,,35
Japan,Japan,Japan Bank for International Cooperation (JBIC),Acquiring Interest in Colombia's Coal Mines,,"$619,000,000 ",,,,,,,3/7/2012,2012,Latin America & Caribbean,Colombia,,ITOCHU Coal Americas Inc.,#N/A,,,,,Coal Mining,Coal Mining,,,,,,http://www.jbic.go.jp/en/information/press/press-2011/0307-7297,,,,,,,,35
Multilateral,Multilateral,World Bank - International Development Association,Post-conflict Reconstruction and Recovery Grant (PCRRG),,"$21,000,000 ",,,,,,,9/15/2011,2011,Sub-Saharan Africa,CÌ«te d'Ivoire,,Government of Cote d'Ivoire,#N/A,,,,,Coal - Other/Unspecified,Coal - Policy,,,,,,http://www.afdb.org/fileadmin/uploads/afdb/Documents/Project-and-Operations/Project_Brief_Nacala_Rail___Port__Project__Multinational_2015.pdf,http://www.worldbank.org/projects/P122800/ci-egrg-econ-gov-recovery-4?lang=en&tab=overview,,,,,,,
China (Equity+EPC),China,PowerChina,Broto San Pedro Port power station (700MW),700,,,,"$800,000,000 ",,,,12/31/2018,2018,Sub-Saharan Africa,CÌ«te d'Ivoire,,PowerChina; Snedai Group; Siemens,#N/A,PowerChina,,,,Coal Power Plant,,4.75,-6.63333,Approximate,PH386.01,https://www.gem.wiki/San_Pedro_Port_power_station,https://mp.weixin.qq.com/s/sqO8I1sFZ1vpRL4cSjCosQ,https://en.powerchina.cn//2018-09/01/content_37101059.htm,"https://www.gide.com/en/news/gide-counsel-to-group-snedai-on-building-a-2x350mw-coal-fired-power-plant-and-related
https://ipen.org/news/ipen-francophone-africa-regional-meeting
https://www.lemonde.fr/economie/article/2020/01/06/cote-d-ivoire-la-future-centrale-a-charbon-divise_6024901_3234.html
http://www.sanpedro-portci.com/site/actualit%C3%A9s/centrale-thermique-s%C3%A9ance-de-travail-entre-le-port-autonome-de-sp-et-le-promoteur-broto",G113379,L102865," Šü_ŒÝ_ÓµŒÈ¼
¤Ôä_À»Ò_
ŒÏ£Š_©Œ_á_ÑŒüÄŽ_¾ä÷àÄÉ_ÓµÇª",,,
South Korea,South Korea,Export-Import Bank of Korea (Kexim),Acquisition of Skoda Power,,,,,,,,,12/1/2009,2009,Europe & Central Asia,Czech Republic,,Doosan Heavy Industry & Construction,#N/A,,,,,Coal - Other/Unspecified,Other,,,,,,http://www.koreaexim.go.kr/en/bbs/noti/view.jsp?no=9593&bbs_code_id=1316753474007&bbs_code_tp=BBS_2&req_pg=5,,,,,,,,
China (EPC),China,PowerChina,Djibouti Coal Plant (150MW),150,,,,,,,,1/1/1950,2050,Sub-Saharan Africa,Djibouti,,,#N/A,SEPCO3 (PowerChina),,,,Coal Power Plant,Coal Power Plant - New,11.574719,43.148613,country,PH362.01,https://www.zawya.com/mena/en/project/230819024644/150-mw-djibouti-coal-fired-power-plant-project/participants-and-contacts/,http://news.bjx.com.cn/html/20190815/1000300.shtml,,,,???,,2023,,
Italy,Italy,Servizi Assicurativi del Commercio Estero (SACE),"Punta Catalina Coal-Fired Power Plant (770MW)
",770,"$632,000,000 ",,,,,,,1/1/2015,2015,Latin America & Caribbean,Dominican Republic,,#ERROR!,,,,General Electric (GE),Babcock & Wilcox (BW),Coal Power Plant,Coal Power Plant - New,18.232641,0,,PH133.01,http://bit.ly/1jYkDHh,http://www.sace.it/en/about-us/environmental-impact/single-environmental-news/environmental-and-social-impact-assessment-availability-for-the-punta-catalina-project,http://www.sace.it/docs/default-source/report-ambiente/op-2015_eng.pdf?sfvrsn=4,,,L101823,,2018,Subcritical,
Germany,Germany,Euler Hermes,Coal processing: coal grinding plant,,"$5,336,179 ",,,,,,,1/1/2015,2015,Middle East & North Africa,Egypt,,Not identified,#N/A,,,,,Coal Mining,Coal Mining,,,,PH203.01,,,,,,,,,,
Private or Other,Private or Other,Societe Generale,Tahrir Petrochemicals Complex,,,,, $ -   ,,,,1/1/1950,2050,Middle East & North Africa,Egypt,,,#N/A,,,,,Gas+,"Desalination, Treatment, Petrochemical, Upstream, Gas-Fired",,,,28089,,https://ijglobal.com/data/transaction/28089/tahrir-petrochemicals-complex,,,,,,,,
United Kingdom,United Kingdom,Royal Bank of Scotland,Tahrir Petrochemicals Complex,,,,, $ -   ,,,,1/1/1950,2050,Middle East & North Africa,Egypt,,,#N/A,,,,,Gas+,"Desalination, Treatment, Petrochemical, Upstream, Gas-Fired",,,,28089,,https://ijglobal.com/data/transaction/28089/tahrir-petrochemicals-complex,,,,,,,,
United States,United States,Overseas Private Investment Corporation,Tahrir Petrochemicals Complex,,"$400,000,000 ",,,"$400,000,000 ",,,,1/1/1950,2050,Middle East & North Africa,Egypt,,,#N/A,,,,,Gas+,"Desalination, Treatment, Petrochemical, Upstream, Gas-Fired",,,,28089,,https://ijglobal.com/data/transaction/28089/tahrir-petrochemicals-complex,,,,,,,,
United States (Commercial),United States (Commercial),General Electric,Tahrir Petrochemicals Complex,,,,, $ -   ,,,,1/1/1950,2050,Middle East & North Africa,Egypt,,,#N/A,,,,,Gas+,"Desalination, Treatment, Petrochemical, Upstream, Gas-Fired",,,,28089,,https://ijglobal.com/data/transaction/28089/tahrir-petrochemicals-complex,,,,,,,,
Multilateral,Multilateral,Arab African International Bank,ON HOLD - Hamrawein Coal Power Project (6600 MW),0,,,,,,,,1/1/1999,2099,Middle East & North Africa,Egypt,Hamrawein,"Egyptian Electricity Holding Company, SPIC",Egyptian Electricity Holding Company,"Shanghai Electric, Dongfang Electric Cooperation, Hassan Allam Construction",,,,Coal Power Plant,Coal Power Plant - New ,26.25,34.2,approximate,PH063.01,http://bit.ly/2qXHw7W,https://www.zawya.com/mena/en/business/story/Egypts_Ministry_defers_construction_of_Hamrawein_coalfired_plant_indefinitely-SNG_168191069/,https://ijglobal.com/data/project/40517/hamrawein-coal-fired-power-plant-6gw,https://ww.dailynewssegypt.com/2019/03/06/government-considers-issuance-of-financial-guarantee-for-hamrawein-coal-fired-electricity-plant/,,L101831,,,Ultrasupercritical,
Private or Other,Private or Other,Export Development Bank of Egypt,ON HOLD - Hamrawein Coal Power Project (6600 MW),0,,,,,,,,1/1/1999,2099,Middle East & North Africa,Egypt,Hamrawein,"Egyptian Electricity Holding Company, SPIC",Egyptian Electricity Holding Company,"Shanghai Electric, Dongfang Electric Cooperation, Hassan Allam Construction",,,,Coal Power Plant,Coal Power Plant - New ,26.25,34.2,approximate,PH063.01,http://bit.ly/2qXHw7W,https://www.zawya.com/mena/en/business/story/Egypts_Ministry_defers_construction_of_Hamrawein_coalfired_plant_indefinitely-SNG_168191069/,https://ijglobal.com/data/project/40517/hamrawein-coal-fired-power-plant-6gw,https://ww.dailynewssegypt.com/2019/03/06/government-considers-issuance-of-financial-guarantee-for-hamrawein-coal-fired-electricity-plant/,,L101831,,,Ultrasupercritical,
